"ÉTUDE SALAIRE 2018 - Paysagiste Concepteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Détails de la soumission","","","","","","","","","","","","Avez-vous un autre diplôme ?","","","","","","","","","","","Compétences mobilisées","","","","","","","","","","","","","","","","",""
"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Votre diplôme principal","Autre diplôme principal","Votre année de diplôme","non","oui","Nombre d'années d'expérience","Localisation actuelle","Autre localisation","Type actuel d'entreprise","Autre type d'entreprise","Taille de votre entreprise actuelle","Convention collective de l'entreprise","Type de poste actuel","Autre type de poste","Rédactions de documents administratifs (devis, offres, ...)","Recrutement (planification, offre, entretien, ...)","Management (gestion d'équipe, pilotage de projets)","Communication graphique et orale","Veille technique et normative","Concertation","Terrain","Réalisation de concours","Conception (phase esquisse)","Conception (phase AVP)","Conception (phase PRO)","Conception (phase DCE)","ACT - Analyse des offres","Suivi de chantiers","Commercial et relation client","Années d'ancienneté au sein de votre entreprise actuelle","Quelle est votre salaire brut annuel FIXE en 2018 (ajusté pour un temps plein) ?","Quelle est l'estimation de votre rémunération VARIABLE en 2018 ?"
"31","1253611","31/10/2018 - 09:24","31/10/2018 - 09:24","31/10/2018 - 09:24","0","0.0.0.0","0","Anonymous","INH","","2015","X","","3","Autre","Angers","Bureau d'études","","11-25","bureaux d'études techniques","Chargé(e) d'étude","","","","X","X","","X","X","","","","","","","","","3","28044","0"
"32","1253614","31/10/2018 - 09:25","31/10/2018 - 09:25","31/10/2018 - 09:25","0","0.0.0.0","0","Anonymous","ENSNP","","2016","X","","2","Paris","","Agence","","11-25","Entreprises paysagistes","Autre","paysagiste ","","","","X","","","X","X","X","X","X","","","","","2","31200","26520"
"33","1253617","31/10/2018 - 09:26","31/10/2018 - 09:26","31/10/2018 - 09:26","0","0.0.0.0","0","Anonymous","INH","","2013","","X","4","Marseille - Aix-en-Provence","","Freelance / Indépendant","","1","Entreprises paysagistes","Directeur(trice) de société","","X","","X","X","X","X","X","","X","X","X","X","X","X","","4","21000","0"
"34","1253632","31/10/2018 - 09:29","31/10/2018 - 09:29","31/10/2018 - 09:29","0","0.0.0.0","0","Anonymous","INH","","2007","X","","11","Lille","","Public","","1001-...","Fonction publique territoriale","Chef(fe) de projet","","","","X","X","","","X","","X","X","","","X","X","","2","48000","0"
"35","1253641","31/10/2018 - 09:31","31/10/2018 - 09:31","31/10/2018 - 09:31","0","0.0.0.0","0","Anonymous","INH","","2017","X","","2","Autre","DOM TOM","Bureau d'études","","2-5","Syntec","Chef(fe) de projet","","X","X","","X","X","X","X","X","X","X","X","X","X","X","X","1","22800","0"
"36","1253668","31/10/2018 - 09:36","31/10/2018 - 09:36","31/10/2018 - 09:36","0","0.0.0.0","0","Anonymous","INH","","2011","","X","6","Autre","angers","Public","","1001-...","Entreprises paysagistes","Chef(fe) de projet","","X","","","X","X","X","X","","X","X","X","X","X","X","","2","32000","0"
"37","1253669","31/10/2018 - 09:36","31/10/2018 - 09:36","31/10/2018 - 09:36","0","0.0.0.0","0","Anonymous","ENSNP","","2017","X","","1","Paris","","Agence","","2-5","Convention collective des architectes","Chef(fe) de projet débutant","","X","X","","X","","","","","","X","X","X","","X","","1","24492","0"
"38","1253686","31/10/2018 - 09:40","31/10/2018 - 09:40","31/10/2018 - 09:40","0","0.0.0.0","0","Anonymous","ENSNP","","2014","","X","4","Autre","Rouen","Bureau d'études","","6-10","Entreprises paysagistes","Chef(fe) de projet","","X","","X","X","","","X","X","X","X","","","","","","0","28000","10900"
"39","1253698","31/10/2018 - 09:43","31/10/2018 - 09:43","31/10/2018 - 09:43","0","0.0.0.0","0","Anonymous","ENSNP","","2018","","X","0","Autre","Clermont-Ferrand","Agence","","2-5","entreprises paysagistes","Chargé(e) d'étude débutant","","","","","X","","","X","X","X","X","X","X","X","X","","0","20040","0"
"40","1253705","31/10/2018 - 09:45","31/10/2018 - 09:45","31/10/2018 - 09:45","0","0.0.0.0","0","Anonymous","INH","","2012","X","","6","Lille","","Agence","","2-5","Entreprises d'architecture","Chef(fe) de projet","","X","","","X","X","","X","X","X","X","X","X","X","X","","6","22800","0"
